#,P1,Skill,Uncertainty
1,Nadal,46.97,4.43
2,Wawrinka,44.78,5.39
3,Ferrer,43.96,5.05
4,Anderson,43.17,5.28
5,Berdych,42.97,5.81
6,Simon,42.64,5.27
7,Federer,42.61,6.10
8,Djokovic,42.01,8.03
9,Tsonga,41.98,7.69
10,Monfils,41.46,7.02
11,Robredo,40.92,7.08
12,Almagro,40.92,6.58
13,Nishikori,40.69,6.71
14,Murray,40.01,6.85
15,Robert,39.90,7.94
16,Dimitrov,39.69,8.18
17,Sock,39.46,6.85
18,Troicki,39.14,7.48
19,Kokkinakis,38.38,8.01
20,Fognini,38.28,7.04
21,Raonic,37.60,9.59
22,Gasquet,36.86,10.51
23,Karlovic,36.77,9.50
24,Dolgopolov,36.76,9.79
25,BautistaAgut,36.01,7.48
26,Chardy,35.72,9.86
27,Janowicz,35.61,10.01
28,Querrey,35.37,7.77
29,Pella,34.88,11.58
30,Devvarman,34.63,10.76
31,Benneteau,33.93,10.85
32,Millot,33.37,9.89
33,Isner,33.27,10.91
34,Cilic,33.22,10.49
35,Lopez,33.22,10.34
36,Youzhny,33.14,10.07
37,Nieminen,32.81,10.50
38,Pospisil,32.74,12.51
39,Muller,31.71,12.94
40,Harrison,31.19,13.43
41,Kohlschreiber,31.13,11.58
42,Goffin,31.05,12.40
43,Gonzalez,31.02,14.46
44,Berankis,30.40,12.08
45,Groth,30.03,11.46
46,Hanescu,29.96,12.21
47,DeSchepper,29.67,13.96
48,Nava,29.45,11.28
49,Andujar,29.39,14.30
50,Kyrgios,28.88,13.13
51,Mayer,28.68,10.20
52,Struff,28.67,13.49
53,Lu,28.53,15.19
54,Przysiezny,28.07,13.21
55,GimenoTraver,27.95,10.54
56,Klizan,27.89,11.25
57,Cuevas,27.47,10.10
58,Gabashvili,27.38,15.06
59,Paire,27.29,10.81
60,Kukushkin,27.24,12.64
61,Thiem,27.23,10.15
62,Lajovic,27.13,14.44
63,Ebden,27.01,14.12
64,Seppi,26.18,11.91
65,Davydenko,25.94,9.63
66,Martin,25.77,14.17
67,Berlocq,25.74,13.21
68,Zemlja,25.68,10.31
69,Reynolds,25.68,14.39
70,Pouille,25.66,13.31
71,Ram,25.46,14.24
72,Altamirano,25.42,14.40
73,Elias,25.31,14.41
74,Brown,25.24,14.68
75,Ward,25.18,14.67
76,Ungur,25.17,14.72
77,Baker,25.03,14.44
78,Edmund,25.01,14.42
79,Andreev,25.01,14.79
80,Olivetti,24.89,14.37
81,Guez,24.79,13.75
82,Rochus,24.71,14.54
83,Fabbiano,24.70,14.72
84,HaiderMaurer,24.63,10.36
85,DeBakker,24.62,14.29
86,RogerVasselin,24.61,13.60
87,Donskoy,24.59,12.96
88,Alund,24.58,14.80
89,Evans,24.51,14.32
90,Knittel,24.47,14.59
91,Bogomolov,24.34,14.66
92,DutraSilva,24.23,14.23
93,Stakhovsky,24.16,10.32
94,Thompson,24.11,12.01
95,GarciaLopez,24.04,12.61
96,Young,24.02,11.61
97,Reid,23.95,14.67
98,Montanes,23.91,12.81
99,Haase,23.77,12.41
100,Schepper,23.55,13.50
101,Bedene,23.09,14.53
102,Volandri,22.93,12.55
103,Gulbis,22.93,13.43
104,Bakker,22.62,13.07
105,Kavcic,22.57,13.02
106,Rosol,22.38,14.95
107,Kubot,22.05,11.39
108,Bolelli,21.65,12.75
109,Riba,21.49,12.67
110,Berrer,21.47,11.05
111,Haas,21.45,11.74
112,Beck,21.37,15.26
113,Mannarino,21.34,14.63
114,Rola,21.33,10.79
115,Vesely,21.32,15.45
116,Rufin,21.16,15.34
117,Odesnik,21.09,12.55
118,Wang,21.04,13.28
119,Bellucci,20.94,9.30
120,Gojowczyk,20.85,12.12
121,Malisse,20.58,12.66
122,Klahn,20.34,14.07
123,Hewitt,20.21,12.64
124,Zeballos,20.02,12.25
125,Nedovyesov,19.96,13.87
126,Giraldo,19.65,14.09
127,Dzumhur,19.49,10.45
128,Matosevic,19.42,10.76
129,Tomic,19.30,14.24
130,BogomolovJr,18.86,15.64
131,Istomin,18.85,10.34
132,Tursunov,18.68,9.95
133,Agut,18.58,12.36
134,DelPotro,18.48,10.60
135,Falla,18.13,11.36
136,Sousa,18.05,11.03
137,Dodig,18.04,9.98
138,Smyczek,17.75,9.10
139,Hajek,17.70,11.95
