#,P1,Skill,Uncertainty
1,Nadal,41.09,2.38
2,Wawrinka,39.45,2.56
3,Djokovic,38.39,2.23
4,Murray,37.22,2.69
5,Robredo,36.10,2.65
6,Ferrer,35.97,2.55
7,Berdych,34.83,2.67
8,Federer,34.71,2.71
9,Gasquet,34.13,2.68
10,BautistaAgut,34.03,4.19
11,Troicki,32.60,4.33
12,Dodig,32.52,3.31
13,Isner,32.25,3.45
14,DelPotro,32.21,3.28
15,Tsonga,31.86,3.09
16,Anderson,31.73,3.03
17,Darcis,31.58,5.12
18,Dimitrov,31.45,3.07
19,Evans,31.34,4.86
20,Nishikori,31.14,3.12
21,Haas,31.05,2.79
22,Seppi,31.03,3.18
23,Lopez,30.94,3.15
24,Janowicz,30.81,3.20
25,Cilic,30.61,4.09
26,Simon,30.58,3.36
27,Youzhny,30.27,2.88
28,Istomin,30.06,3.11
29,Paire,29.99,3.30
30,Davydenko,29.94,3.88
31,Raonic,29.85,3.02
32,Brown,29.51,5.14
33,Kohlschreiber,29.49,3.86
34,Mayer,29.07,2.52
35,Monfils,29.06,3.75
36,Tipsarevic,29.02,3.74
37,Thiem,28.96,5.43
38,Benneteau,28.86,3.35
39,Robert,28.80,3.65
40,Sousa,28.22,3.82
41,Almagro,28.20,3.77
42,Donskoy,28.13,3.96
43,Tomic,27.92,3.59
44,Fognini,27.84,3.58
45,Gabashvili,27.68,4.49
46,Granollers,27.57,4.04
47,Chardy,27.14,3.26
48,Verdasco,27.08,3.32
49,Gulbis,27.07,3.49
50,Kukushkin,27.00,5.41
51,Hewitt,26.98,3.38
52,Zemlja,26.96,4.03
53,Reynolds,26.90,6.16
54,Young,26.64,4.04
55,Lu,26.40,4.09
56,Kokkinakis,26.38,5.92
57,DeSchepper,26.33,5.07
58,Berrer,26.30,6.16
59,Querrey,26.21,3.48
60,Agut,26.10,5.02
61,Sock,25.65,3.84
62,Tursunov,25.41,3.92
63,Silva,25.27,5.53
64,Klizan,25.00,3.81
65,Nieminen,24.93,3.97
66,Millot,24.85,6.22
67,Ram,24.71,4.60
68,Mannarino,24.56,3.41
69,Melzer,24.38,3.84
70,Lajovic,24.37,5.95
71,Cuevas,24.31,4.92
72,Rola,24.29,6.24
73,Hanescu,24.25,3.79
74,RogerVasselin,24.20,3.72
75,Sijsling,24.17,3.84
76,Baghdatis,23.94,4.02
77,Smyczek,23.94,4.88
78,Pella,23.90,4.66
79,Gonzalez,23.79,5.50
80,Przysiezny,23.71,4.10
81,Llodra,23.59,4.74
82,Wang,23.52,6.03
83,BogomolovJr,23.48,4.75
84,Gojowczyk,23.43,5.02
85,Falla,23.37,5.08
86,Karlovic,23.18,5.60
87,Kubot,23.15,3.68
88,Devvarman,23.13,4.73
89,Kyrgios,23.09,4.58
90,Dancevic,22.97,5.42
91,Dzumhur,22.78,5.22
92,Bogomolov,22.76,7.20
93,Guez,22.75,7.34
94,Stakhovsky,22.62,3.96
95,Klahn,22.61,5.32
96,Dolgopolov,22.58,4.29
97,Levine,22.30,5.68
98,Rufin,22.21,4.45
99,Pospisil,22.01,3.99
100,Golubev,21.83,7.09
101,Marchenko,21.75,6.92
102,Bellucci,21.69,5.42
103,Delbonis,21.58,5.27
104,Knittel,21.55,7.20
105,Teixeira,21.55,7.20
106,Edmund,21.44,6.86
107,Kudla,21.13,4.05
108,Harrison,21.12,4.86
109,Mahut,21.06,5.32
110,Kamke,21.03,4.54
111,GimenoTraver,20.99,4.53
112,Andujar,20.74,4.24
113,Zhang,20.65,6.72
114,Ebden,20.63,5.26
115,Muller,20.61,7.17
116,Andreev,20.61,7.17
117,Nedovyesov,20.61,7.17
118,Sela,20.53,5.37
119,Becker,20.52,4.73
120,Struff,20.52,4.28
121,Brands,20.48,4.97
122,Kavcic,20.45,4.31
123,Stepanek,20.44,5.35
124,Pouille,20.43,5.42
125,Mathieu,20.40,5.11
126,Beck,20.30,6.69
127,Altamirano,20.28,6.85
128,HutaGalung,20.28,6.72
129,Blake,20.23,5.27
130,Wu,20.21,6.91
131,Thompson,20.16,6.90
132,CarrenoBusta,20.16,6.37
133,Rochus,20.14,6.79
134,HaiderMaurer,20.12,4.51
135,Baker,20.00,6.59
136,Volandri,19.95,6.35
137,Martin,19.87,6.82
138,Monaco,19.80,4.29
139,Ward,19.73,6.62
140,Olivetti,19.67,6.95
141,Hajek,19.37,4.47
142,Groth,19.26,6.88
143,Soeda,19.22,4.89
144,Bolelli,19.21,6.25
145,Berlocq,19.08,4.84
146,DutraSilva,19.01,6.87
147,Riba,19.01,6.87
148,Ungur,18.82,6.42
149,Fabbiano,18.75,6.81
150,Zeballos,18.75,4.63
151,Reister,18.74,4.67
152,GarciaLopez,18.66,4.41
153,Nava,18.28,6.53
154,Williams,18.25,6.02
155,Bakker,18.18,6.62
156,Haase,18.12,4.61
157,Zopp,17.93,6.00
158,Elias,17.43,6.43
159,Serra,17.25,6.24
160,Gicquel,17.13,5.82
161,Alund,17.10,5.99
162,Reid,16.99,6.54
163,Malisse,16.94,5.85
164,DeBakker,16.89,6.51
165,Schepper,16.78,6.19
166,Giraldo,16.61,4.79
167,Russell,16.60,5.24
168,Montanes,16.56,4.81
169,Vesely,16.50,5.75
170,Rosol,16.31,4.49
171,Bedene,16.14,5.26
172,Odesnik,15.79,6.05
173,Matosevic,15.53,5.20
174,Ramos,15.45,4.98
175,Lorenzi,15.33,5.53
176,Petzschner,15.20,5.56
177,Berankis,15.05,5.09
178,Duckworth,15.01,5.28
179,Lacko,14.81,5.51
180,Kuznetsov,14.47,4.26
181,Goffin,14.15,5.65
182,Johnson,11.32,4.89
