#,P1,Skill,Uncertainty
1,Wawrinka,39.74,4.54
2,Nadal,37.43,4.09
3,Federer,36.23,4.25
4,Dimitrov,35.47,4.40
5,Berdych,34.91,4.26
6,Murray,33.92,4.76
7,Nishikori,32.77,4.92
8,Djokovic,32.65,4.76
9,BautistaAgut,32.41,4.83
10,Robredo,32.34,5.03
11,Tsonga,32.12,4.86
12,Pospisil,31.96,6.46
13,Dodig,31.96,6.46
14,Fognini,31.80,4.86
15,Anderson,31.07,4.99
16,Robert,30.33,5.01
17,Gabashvili,30.09,5.41
18,Ferrer,29.75,4.78
19,Young,29.66,5.52
20,Mayer,29.32,4.24
21,Paire,28.96,5.69
22,Chardy,28.96,5.53
23,Monfils,28.94,5.51
24,Klizan,28.94,5.51
25,Istomin,28.92,5.32
26,Gasquet,28.87,5.51
27,RogerVasselin,28.75,5.69
28,Falla,27.69,6.43
29,Raonic,27.67,5.73
30,Simon,27.67,5.73
31,Kokkinakis,27.01,6.46
32,Querrey,26.86,5.48
33,Janowicz,26.65,5.15
34,Lopez,26.59,5.52
35,Bellucci,26.30,6.27
36,Kyrgios,25.80,6.30
37,Cilic,25.80,6.30
38,Hanescu,25.80,6.30
39,Millot,25.79,6.10
40,Tursunov,25.73,6.24
41,DeSchepper,25.71,6.06
42,Benneteau,25.58,6.08
43,Nieminen,25.41,6.04
44,Lu,25.30,6.06
45,Berrer,25.05,6.27
46,Thiem,25.05,6.27
47,Gulbis,25.05,6.27
48,GarciaLopez,25.05,6.27
49,Ebden,25.05,6.27
50,Altamirano,25.00,8.33
51,Lorenzi,25.00,8.33
52,Nava,25.00,8.33
53,Baker,25.00,8.33
54,Cuevas,25.00,8.33
55,Melzer,25.00,8.33
56,Elias,25.00,8.33
57,Ward,25.00,8.33
58,Andreev,25.00,8.33
59,Schepper,25.00,8.33
60,Bakker,25.00,8.33
61,Levine,25.00,8.33
62,Zemlja,25.00,8.33
63,Teixeira,25.00,8.33
64,Ungur,25.00,8.33
65,Brown,25.00,8.33
66,Beck,25.00,8.33
67,Riba,25.00,8.33
68,Gicquel,25.00,8.33
69,Kuznetsov,25.00,8.33
70,Rufin,25.00,8.33
71,Kohlschreiber,25.00,8.33
72,Petzschner,25.00,8.33
73,Reid,25.00,8.33
74,Edmund,25.00,8.33
75,Bolelli,25.00,8.33
76,DutraSilva,25.00,8.33
77,Pella,25.00,8.33
78,Knittel,25.00,8.33
79,Ram,25.00,8.33
80,Goffin,25.00,8.33
81,Tipsarevic,25.00,8.33
82,Bogomolov,25.00,8.33
83,Silva,25.00,8.33
84,Serra,25.00,8.33
85,Zopp,25.00,8.33
86,Malisse,25.00,8.33
87,Agut,25.00,8.33
88,Muller,25.00,8.33
89,Martin,25.00,8.33
90,Mathieu,25.00,8.33
91,Blake,25.00,8.33
92,Olivetti,25.00,8.33
93,Marchenko,25.00,8.33
94,Reynolds,25.00,8.33
95,Donskoy,25.00,8.33
96,Darcis,25.00,8.33
97,Evans,25.00,8.33
98,Almagro,25.00,8.33
99,Fabbiano,25.00,8.33
100,Troicki,25.00,8.33
101,HaiderMaurer,25.00,8.33
102,Alund,25.00,8.33
103,DeBakker,25.00,8.33
104,Rochus,25.00,8.33
105,Lajovic,24.96,6.26
106,Kavcic,24.96,6.26
107,Verdasco,24.96,6.26
108,Seppi,24.96,6.26
109,Andujar,24.96,6.26
110,DelPotro,24.96,6.26
111,Przysiezny,24.87,5.99
112,Mannarino,24.56,6.03
113,Sock,24.31,6.01
114,Rola,24.31,6.01
115,Davydenko,24.29,6.01
116,Youzhny,24.06,5.84
117,Dolgopolov,23.36,6.04
118,Volandri,22.77,7.37
119,Matosevic,22.69,7.35
120,Soeda,22.30,7.19
121,Dzumhur,22.27,5.53
122,Golubev,22.12,7.25
123,Klahn,21.93,7.11
124,Rosol,21.91,7.24
125,Smyczek,21.91,7.24
126,Stakhovsky,21.91,7.24
127,Giraldo,21.55,7.20
128,Vesely,21.55,7.20
129,Karlovic,21.55,7.20
130,Tomic,21.55,7.20
131,Groth,21.55,7.20
132,Duckworth,21.47,7.04
133,Nedovyesov,21.30,7.00
