#,P1,Skill,Uncertainty
1,Nadal,46.85,2.43
2,Djokovic,46.11,2.94
3,Murray,45.76,3.33
4,Wawrinka,45.49,3.51
5,Ferrer,44.98,3.82
6,Robredo,43.47,4.95
7,Federer,43.16,4.92
8,Berdych,43.05,5.12
9,Gasquet,42.64,5.35
10,Tsonga,41.27,6.36
11,Youzhny,40.29,6.79
12,Nishikori,38.93,7.53
13,DelPotro,38.78,7.92
14,Dodig,38.71,7.90
15,Anderson,38.67,7.51
16,BautistaAgut,38.52,8.75
17,Troicki,38.23,8.71
18,Isner,38.01,8.30
19,Lopez,37.28,8.18
20,Seppi,37.16,8.10
21,Dimitrov,37.13,8.38
22,Monfils,36.51,9.13
23,Janowicz,36.42,8.53
24,Istomin,36.37,8.65
25,Raonic,36.07,8.50
26,Kohlschreiber,36.03,9.36
27,Simon,35.99,9.42
28,Haas,35.97,8.47
29,Paire,35.10,9.61
30,Almagro,34.25,9.71
31,Robert,33.92,10.10
32,Evans,33.71,11.64
33,Cilic,33.37,10.90
34,Tipsarevic,33.18,10.42
35,Benneteau,32.98,9.84
36,Mayer,32.95,8.33
37,Davydenko,31.94,10.79
38,Hewitt,31.91,10.69
39,Young,31.78,11.51
40,Verdasco,30.84,10.49
41,Lu,30.16,11.39
42,Chardy,30.09,10.13
43,Fognini,30.01,10.70
44,Gulbis,29.95,11.40
45,Brown,29.75,12.67
46,Tomic,29.37,11.07
47,Gabashvili,29.00,12.66
48,Sock,28.76,11.28
49,Mannarino,28.68,10.87
50,Sousa,28.60,11.97
51,Zemlja,28.56,11.67
52,Donskoy,27.71,12.12
53,Darcis,27.54,13.53
54,Kokkinakis,27.53,13.53
55,Querrey,27.39,11.11
56,Granollers,27.37,12.13
57,Thiem,27.20,13.53
58,Agut,26.54,12.85
59,Berrer,26.25,13.56
60,Klizan,26.16,11.82
61,Hanescu,25.86,11.75
62,Lajovic,25.82,13.62
63,Millot,25.81,13.59
64,Tursunov,25.65,11.39
65,DeSchepper,25.25,12.77
66,RogerVasselin,25.13,11.43
67,Reynolds,25.05,13.62
68,Melzer,24.97,12.11
69,Kukushkin,24.71,12.93
70,Smyczek,24.54,12.94
71,Gonzalez,24.24,13.27
72,Wang,23.93,13.52
73,Llodra,23.92,12.65
74,Rola,23.88,13.67
75,Sijsling,23.44,11.77
76,Ram,23.39,12.92
77,Devvarman,23.15,12.48
78,Silva,22.83,13.27
79,Karlovic,22.80,13.27
80,Pospisil,22.72,12.22
81,Baghdatis,22.56,12.15
82,Kyrgios,22.55,12.59
83,Levine,22.48,13.18
84,Cuevas,22.36,13.29
85,Przysiezny,22.36,11.70
86,Dzumhur,22.33,13.28
87,Kubot,22.20,11.79
88,Dolgopolov,22.15,11.85
89,Dancevic,22.13,13.12
90,Golubev,21.79,13.97
91,Struff,21.75,12.33
92,Nieminen,21.68,11.70
93,Bogomolov,21.38,13.89
94,Klahn,21.37,13.09
95,Nedovyesov,21.34,13.81
96,Guez,21.31,13.83
97,BogomolovJr,21.12,13.03
98,Rufin,20.91,12.24
99,Marchenko,20.87,13.85
100,Bellucci,20.75,12.99
101,Rochus,20.74,13.82
102,Thompson,20.41,13.56
103,Stakhovsky,20.38,11.82
104,Altamirano,20.36,13.70
105,Kavcic,20.33,12.07
106,Fabbiano,20.31,13.65
107,Ebden,20.22,12.89
108,Gojowczyk,20.17,12.83
