#,P1,Skill,Uncertainty
1,Golden State Warriors,45.54,3.23
2,Atlanta Hawks,44.76,3.73
3,Memphis Grizzlies,41.87,4.82
4,Portland Trail Blazers,41.46,4.97
5,Houston Rockets,39.52,5.38
6,Dallas Mavericks,37.97,5.64
7,Los Angeles Clippers,37.64,5.66
8,Washington Wizards,37.45,5.76
9,Toronto Raptors,35.55,5.95
10,San Antonio Spurs,35.09,5.85
11,Chicago Bulls,34.24,5.90
12,Phoenix Suns,28.58,5.90
13,Cleveland Cavaliers,27.91,5.86
14,New Orleans Pelicans,27.86,6.15
15,Oklahoma City Thunder,25.91,5.99
16,Milwaukee Bucks,25.82,6.08
17,Miami Heat,21.95,6.10
18,Denver Nuggets,21.83,6.00
19,Sacramento Kings,18.60,6.03
20,Charlotte Hornets,17.77,5.91
21,Brooklyn Nets,16.98,6.04
22,Detroit Pistons,15.69,5.88
23,Utah Jazz,14.95,5.99
24,Indiana Pacers,13.52,5.75
25,Boston Celtics,13.45,6.08
26,Orlando Magic,13.16,5.78
27,Los Angeles Lakers,12.84,5.95
28,Philadelphia 76ers,5.17,4.13
29,Minnesota Timberwolves,4.05,3.59
30,New York Knicks,3.19,3.08
