#,P1,Skill,Uncertainty
1,Nadal,45.92,3.18
2,Wawrinka,44.88,4.09
3,Ferrer,43.55,4.99
4,Djokovic,43.14,5.30
5,Federer,43.00,5.36
6,Tsonga,42.56,5.82
7,Robredo,41.55,6.42
8,Dimitrov,39.88,7.54
9,Nishikori,39.74,7.57
10,Anderson,39.30,7.79
11,Berdych,38.96,8.18
12,Murray,38.22,8.77
13,Gasquet,37.83,8.84
14,Fognini,37.83,8.86
15,Simon,37.48,8.99
16,Monfils,36.52,9.54
17,BautistaAgut,35.37,10.49
18,Almagro,35.31,10.65
19,Troicki,34.85,10.81
20,Robert,34.85,10.79
21,Lopez,34.23,10.69
22,Raonic,34.14,10.45
23,Chardy,34.02,10.73
24,Paire,33.14,10.82
25,Isner,33.01,11.54
26,Janowicz,32.84,10.97
27,Querrey,32.56,11.13
28,Klizan,32.03,11.60
29,Davydenko,31.51,11.68
30,Young,31.41,12.32
31,Kohlschreiber,31.29,12.48
32,Youzhny,31.06,11.57
33,Istomin,30.99,11.66
34,Gabashvili,30.78,12.57
35,Seppi,30.42,12.06
36,Benneteau,30.32,11.90
37,Lu,29.85,12.64
38,Cilic,29.79,12.10
39,RogerVasselin,29.72,12.25
40,Mayer,29.21,11.19
41,Hanescu,28.95,12.30
42,Dodig,28.61,12.89
43,Pospisil,28.52,13.01
44,Pella,27.57,13.24
45,Haas,27.10,12.22
46,Nieminen,27.06,12.83
47,Kokkinakis,26.96,13.55
48,Przysiezny,25.99,12.79
49,Millot,25.94,13.72
50,DeSchepper,25.91,13.58
51,Thiem,25.80,13.74
52,Martin,25.77,14.17
53,Reynolds,25.68,14.39
54,Cuevas,25.66,13.67
55,Donskoy,25.51,13.40
56,Lajovic,25.50,13.44
57,Ram,25.46,14.24
58,Zemlja,25.44,13.70
59,Altamirano,25.42,14.40
60,Berrer,25.42,13.75
61,Bellucci,25.41,13.74
62,Elias,25.31,14.41
63,Tipsarevic,25.28,13.63
64,Brown,25.24,14.68
65,Sock,25.20,12.91
66,Ward,25.18,14.67
67,Ungur,25.17,14.72
68,Gulbis,25.17,12.94
69,Kavcic,25.15,13.00
70,Baker,25.03,14.44
71,Edmund,25.01,14.42
72,Andreev,25.01,14.79
73,Olivetti,24.89,14.37
74,DelPotro,24.85,13.77
75,Rola,24.78,13.71
76,Rochus,24.71,14.54
77,Fabbiano,24.70,14.72
78,DeBakker,24.62,14.29
79,Agut,24.55,13.67
80,Tursunov,24.52,12.91
81,Evans,24.51,14.32
82,Knittel,24.47,14.59
83,Bogomolov,24.34,14.66
84,DutraSilva,24.23,14.23
85,Reid,23.95,14.67
86,Ebden,23.95,13.50
87,Verdasco,23.95,12.89
88,Kyrgios,23.77,12.95
89,Falla,23.71,13.30
90,Zeballos,22.53,13.32
91,Rosol,22.49,13.20
92,Devvarman,22.49,13.00
93,Gonzalez,21.76,13.85
94,Volandri,21.66,13.71
95,Bakker,21.60,14.02
96,Klahn,21.45,13.87
97,Goffin,21.25,13.84
98,Sijsling,21.24,13.06
99,Montanes,21.22,13.04
100,Golubev,21.21,13.72
101,Harrison,21.10,13.05
102,Beck,20.97,13.59
103,Kubot,20.96,13.03
104,Zopp,20.95,13.76
105,Levine,20.90,13.82
106,Dzumhur,20.77,13.21
107,BogomolovJr,20.76,13.66
108,Smyczek,20.62,13.91
109,Andujar,20.59,13.03
110,GarciaLopez,20.58,12.92
111,Mannarino,20.56,12.76
112,Guez,20.54,13.60
113,Marchenko,20.51,13.72
114,GimenoTraver,20.48,12.75
115,Pouille,20.47,13.09
116,Nedovyesov,20.44,13.63
117,Haase,20.42,12.99
118,Dancevic,20.39,13.73
119,Blake,20.16,13.83
120,HaiderMaurer,20.11,13.59
121,Serra,20.03,13.66
122,Thompson,19.99,13.44
123,Malisse,19.96,13.57
124,Alund,19.88,13.70
125,Dolgopolov,19.83,12.92
126,HutaGalung,19.81,13.58
127,Llodra,19.79,12.81
128,Sousa,19.79,12.71
129,Groth,19.65,13.39
130,Kamke,19.63,12.98
131,Bolelli,19.57,13.51
132,Wang,19.46,13.63
133,Karlovic,19.40,13.34
134,Petzschner,19.38,13.45
135,Odesnik,19.31,13.55
136,Sela,19.30,13.40
137,Gojowczyk,19.22,13.40
138,Rufin,19.20,13.48
139,Delbonis,19.16,12.65
140,Kukushkin,19.12,13.41
141,Mathieu,19.01,13.37
142,Wu,18.87,13.53
143,Hajek,18.82,12.68
144,Gicquel,18.75,13.40
145,Zhang,18.72,13.40
146,Matosevic,18.67,12.98
147,Muller,18.56,13.26
148,Silva,18.56,13.18
149,Riba,18.53,13.22
150,Mahut,18.50,13.21
151,Schepper,18.44,13.28
152,Teixeira,18.37,13.30
153,Lorenzi,18.33,13.34
154,Nava,18.31,13.28
155,Melzer,18.30,13.35
156,Brands,18.17,12.81
157,Darcis,18.17,13.19
158,Lacko,17.86,12.78
159,Bedene,17.57,12.79
160,CarrenoBusta,17.42,12.57
161,Tomic,17.10,12.58
162,Vesely,16.96,12.57
163,Stakhovsky,16.71,12.40
164,Duckworth,16.71,12.43
165,Hewitt,16.44,12.23
166,Berlocq,16.34,12.38
167,Granollers,16.20,12.28
168,Baghdatis,15.99,12.24
169,Becker,15.89,12.09
170,Russell,15.64,11.99
171,Giraldo,15.43,12.20
172,Struff,15.38,12.06
173,Soeda,15.29,11.86
174,Ramos,15.28,11.96
175,Berankis,15.09,11.88
176,Williams,15.02,11.96
177,Stepanek,14.88,11.78
178,Kudla,14.49,11.72
179,Monaco,14.25,11.35
180,Reister,14.19,11.59
181,Kuznetsov,14.10,11.50
182,Johnson,14.07,11.25
