#,P1,Skill,Uncertainty
1,Nadal,47.73,2.96
2,Djokovic,46.01,3.99
3,Ferrer,45.69,4.05
4,Wawrinka,45.42,5.22
5,Murray,45.19,4.65
6,Robredo,44.75,4.63
7,Tsonga,43.66,4.75
8,Berdych,43.23,6.26
9,Gasquet,43.17,5.83
10,Federer,42.63,5.63
11,Youzhny,42.53,6.21
12,Isner,41.99,6.11
13,BautistaAgut,40.16,8.78
14,Lopez,39.86,6.78
15,Monfils,39.21,9.66
16,Benneteau,37.47,11.42
17,Nishikori,37.33,10.94
18,Haas,37.19,7.99
19,Davydenko,36.62,11.37
20,Istomin,36.30,9.83
21,Almagro,36.08,8.73
22,Rola,35.99,7.61
23,Smyczek,35.73,11.56
24,Troicki,35.51,10.51
25,DelPotro,35.46,8.77
26,Wang,35.43,9.13
27,Pospisil,35.32,10.55
28,Simon,35.30,8.83
29,RogerVasselin,35.25,8.43
30,Janowicz,35.23,7.56
31,Delbonis,35.23,9.46
32,Nedovyesov,34.96,8.66
33,Golubev,34.95,11.80
34,Dodig,34.19,9.91
35,Verdasco,33.66,9.44
36,Seppi,33.44,10.49
37,Sock,33.07,10.46
38,Cilic,33.02,9.93
39,Chardy,32.72,7.45
40,Anderson,32.47,8.99
41,Lu,32.46,8.58
42,Raonic,32.41,10.72
43,DeSchepper,32.38,9.22
44,Dimitrov,32.35,7.47
45,Paire,32.24,15.06
46,Alund,31.92,10.56
47,Gulbis,31.86,9.97
48,Ram,31.76,13.87
49,Robert,31.68,11.95
50,Klizan,31.45,9.34
51,Millot,31.35,13.42
52,Olivetti,31.18,15.80
53,Evans,31.04,13.79
54,Tipsarevic,30.88,10.31
55,Donskoy,30.85,9.78
56,Mayer,30.63,7.53
57,Bakker,30.37,11.20
58,Melzer,30.02,12.85
59,Dolgopolov,29.99,9.51
60,Granollers,29.95,12.35
61,Fognini,29.21,10.39
62,Tomic,28.95,9.73
63,Lajovic,28.91,15.18
64,Odesnik,28.76,14.30
65,Sijsling,28.61,9.13
66,Kohlschreiber,28.41,13.07
67,Fabbiano,27.53,16.31
68,Ebden,27.52,13.81
69,Klahn,27.50,10.41
70,Beck,27.38,11.65
71,Young,27.09,13.37
72,Gabashvili,26.99,13.48
73,Przysiezny,26.57,11.61
74,Williams,26.34,14.09
75,Andreev,26.28,10.48
76,Zopp,26.13,13.74
77,Nava,26.07,16.49
78,Brown,26.00,12.91
79,Hewitt,25.43,9.90
80,Bellucci,25.30,13.36
81,Tursunov,24.64,10.64
82,Silva,24.24,12.39
83,Stakhovsky,23.58,11.07
84,Zemlja,23.26,10.90
85,Matosevic,22.97,14.28
86,Sousa,22.51,12.19
87,Harrison,21.97,13.83
88,Edmund,21.95,15.38
89,Rufin,21.95,12.46
