#,P1,Skill,Uncertainty
1,Golden State Warriors,48.70,2.34
2,Houston Rockets,46.23,3.56
3,Atlanta Hawks,45.52,4.20
4,Los Angeles Clippers,45.33,4.07
5,Memphis Grizzlies,44.14,6.62
6,San Antonio Spurs,43.58,4.59
7,Cleveland Cavaliers,41.34,5.81
8,Portland Trail Blazers,37.80,4.95
9,Chicago Bulls,37.39,5.82
10,Dallas Mavericks,36.62,5.61
11,Toronto Raptors,35.41,4.52
12,Oklahoma City Thunder,31.18,5.71
13,New Orleans Pelicans,30.76,5.03
14,Washington Wizards,30.02,4.84
15,Boston Celtics,25.21,5.11
16,Milwaukee Bucks,23.74,5.63
17,Phoenix Suns,22.53,4.52
18,Indiana Pacers,22.28,5.26
19,Utah Jazz,21.54,4.80
20,Miami Heat,21.00,4.93
21,Brooklyn Nets,18.53,4.42
22,Charlotte Hornets,14.47,4.86
23,Denver Nuggets,12.47,5.83
24,Detroit Pistons,11.25,4.47
25,Sacramento Kings,10.55,4.41
26,Orlando Magic,5.45,4.26
27,Los Angeles Lakers,3.41,3.05
28,New York Knicks,2.51,5.15
29,Philadelphia 76ers,1.98,2.81
30,Minnesota Timberwolves,1.62,2.88
