#,P1,Skill,Uncertainty
1,Golden State Warriors,46.84,2.19
2,Atlanta Hawks,42.17,4.05
3,Houston Rockets,40.77,4.18
4,Los Angeles Clippers,40.61,4.27
5,Memphis Grizzlies,39.79,4.31
6,San Antonio Spurs,39.65,4.27
7,Cleveland Cavaliers,36.26,4.54
8,Portland Trail Blazers,35.69,4.34
9,Dallas Mavericks,35.37,4.36
10,Chicago Bulls,33.09,4.36
11,Toronto Raptors,31.90,4.39
12,New Orleans Pelicans,30.42,4.32
13,Oklahoma City Thunder,30.26,4.30
14,Washington Wizards,29.25,4.38
15,Phoenix Suns,25.10,4.35
16,Milwaukee Bucks,24.61,4.36
17,Utah Jazz,24.41,4.34
18,Boston Celtics,23.77,4.26
19,Brooklyn Nets,22.50,4.30
20,Indiana Pacers,22.02,4.33
21,Miami Heat,21.39,4.34
22,Charlotte Hornets,17.73,4.44
23,Detroit Pistons,16.65,4.49
24,Denver Nuggets,16.46,4.48
25,Sacramento Kings,15.81,4.47
26,Orlando Magic,10.31,4.36
27,Los Angeles Lakers,7.73,4.29
28,Philadelphia 76ers,4.41,3.41
29,Minnesota Timberwolves,4.06,3.20
30,New York Knicks,3.68,3.07
